tweet_id,created_at,date,month,weekday,hour,source,is_reply,tweet_text,favorite_count,retweet_count,tweet_length,word_count,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score,sentiment
815422340540547073,2017-01-01 05:00:10+00:00,2017-01-01,2017-01,Sunday,5,iPhone,False,TO ALL AMERICANS- #HappyNewYear &amp; many blessings to you all! Looking forward to a wonderful &amp; prosperous 2017 as we… https://t.co/1asdMAL4iy,126230,32665,148,21,0.0024384059943258762,0.010184092447161674,0.9873774647712708,0.9849390587769449,Positive
815930688889352192,2017-01-02 14:40:10+00:00,2017-01-02,2017-01,Monday,14,Android,False,"Well, the New Year begins. We will, together, MAKE AMERICA GREAT AGAIN!",124024,29248,71,12,0.002747619291767478,0.01816410757601261,0.9790882468223572,0.9763406275305897,Positive
815973752785793024,2017-01-02 17:31:17+00:00,2017-01-02,2017-01,Monday,17,Android,False,"Chicago murder rate is record setting - 4,331 shooting victims with 762 murders in 2016. If Mayor can't do it he must ask for Federal help!",63340,17411,139,26,0.9107887744903564,0.08259877562522888,0.006612411700189114,-0.9041763627901673,Negative
815989154555297792,2017-01-02 18:32:29+00:00,2017-01-02,2017-01,Monday,18,Android,True,"@CNN just released a book called ""Unprecedented"" which explores the 2016 race &amp; victory. Hope it does well but used worst cover photo of me!",13862,3948,144,25,0.1591755598783493,0.3178114593029022,0.5230129957199097,0.36383743584156036,Positive
815990335318982656,2017-01-02 18:37:10+00:00,2017-01-02,2017-01,Monday,18,Android,False,"Various media outlets and pundits say that I thought I was going to lose the election. Wrong, it all came together in the last week and.....",47285,9057,140,26,0.8664211630821228,0.12604853510856628,0.007530346978455782,-0.858890816103667,Negative
815992069412057088,2017-01-02 18:44:04+00:00,2017-01-02,2017-01,Monday,18,Android,False,"I thought and felt I would win big, easily over the fabled 270 (306). When they cancelled fireworks, they knew, and so did I.",62670,13437,125,24,0.017087936401367188,0.22421157360076904,0.7587005496025085,0.7416126132011414,Positive
816057920223846400,2017-01-02 23:05:44+00:00,2017-01-02,2017-01,Monday,23,Android,False,North Korea just stated that it is in the final stages of developing a nuclear weapon capable of reaching parts of the U.S. It won't happen!,92256,26703,140,26,0.8079404234886169,0.17937172949314117,0.012687833979725838,-0.7952525895088911,Negative
816068355555815424,2017-01-02 23:47:12+00:00,2017-01-02,2017-01,Monday,23,Android,False,"China has been taking out massive amounts of money &amp; wealth from the U.S. in totally one-sided trade, but won't help with North Korea. Nice!",64480,17507,144,25,0.6527747511863708,0.3116288483142853,0.03559635207056999,-0.6171783991158009,Negative
816260343391514624,2017-01-03 12:30:05+00:00,2017-01-03,2017-01,Tuesday,12,Android,False,General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border. Make in U.S.A.or pay big border tax!,73104,18864,140,24,0.05404539033770561,0.6464282870292664,0.2995263934135437,0.2454810030758381,Neutral
816264484629184513,2017-01-03 12:46:33+00:00,2017-01-03,2017-01,Tuesday,12,Android,False,"People must remember that ObamaCare just doesn't work, and it is not affordable - 116% increases (Arizona). Bill Clinton called it ""CRAZY""",58809,14481,138,22,0.9325371384620667,0.062329914420843124,0.005132949445396662,-0.92740418901667,Negative
